image,caption
00191.png,"""The image displays an Indian passport with the following details: The type of passport is 'P', signifying a personal passport. The country code 'IND' indicates India. The passport number is Z228778K. The surname of the passport holder is Ranaut, and the given name is Kangna Amardeep. The nationality is Indian. The holder's sex is female, represented by 'F'. The date of birth is 23/03/1986. The place of birth is Bhambla, Mandi, Himachal Pradesh. The passport was issued in Mumbai on 16/09/2011, with an expiration date of 15/09/2021."","
00192.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', which is for a personal passport. The country code 'IND' signifies India. The passport number is M2802054. The surname of the passport holder is Pandher, and the given name is Kamaljit Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 18/08/1993. The place of birth is Cheema, Punjab. The passport was issued in Chandigarh on 20/10/2014, with an expiration date of 19/10/2024."""
00193.png,"""The displayed image is of an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code is 'IND' for India. The passport number is M9893722. The bearer's surname is listed as blank, which might be an error, and the given name is Simranjit Singh. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 22/04/1996. The place of birth is Ratok Gurdwara, Punjab. This passport was issued in Amritsar on 25/05/2015, and it is set to expire on 24/05/2025."","
00194.png,"""The image shows an Indian passport with the following information: The type of passport is 'P', for a personal passport. The country code is 'IND', representing India. The passport number is J8369854. The surname of the passport holder is Ramadugula, and the given name is Sitamaha Lakshmi. The nationality is Indian, and the sex of the holder is female, denoted by 'F'. The date of birth is 23/09/1959. The place of birth is mentioned as Guntur, and the place of issue is Hyderabad. This passport was issued on 11/10/2011 and expired on 10/10/2021."","
00195.png,"""The image provided is of an Indian passport with the following details: The passport type is 'P', which stands for a personal passport. The country code 'IND' is for India. The passport number is L8809485. The surname of the passport holder is Chauhan, and the given name is Sukhvir Kaur. The nationality is Indian. The holder's sex is female, denoted by 'F'. The date of birth is 24/03/1991. The place of birth is Moga, Punjab. The passport was issued in Chandigarh on 05/05/2014 and is set to expire on 04/05/2024."","
00196.png,"""The image provided is of an Indian passport with the following information: The type of passport is denoted by 'P', which means it's a personal passport. The country code 'IND' indicates India. The passport number is N7820370. The surname of the passport holder is Kaluva, and the given name is Santhoshi. The nationality mentioned is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 09/01/1993. The place of birth is Hyderabad, Telangana. This passport was issued in Hyderabad on 15/02/2016, with an expiration date of 14/02/2026."","
00197.png,"""The image shows an Indian passport with the following details: The type is marked as 'P', indicating a personal passport. The country code is 'IND', for India. The passport number is L2741120. The surname of the holder is Deol and the given name is Pradeep Singh. The nationality is listed as Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 05/03/1994. The place of birth is Bopa Rai Kalan, Punjab. The passport was issued in Chandigarh on 20/06/2013 and the expiration date is listed as 19/06/2023."","
00198.png,"""The image provided is of an Indian passport featuring the following details: The passport type is 'P' for a personal passport. The country code 'IND' signifies India. The passport number is M6664736. The surname of the passport holder is Patel, and the given name is Jaydipkumar Ashokbhai. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is listed as 09/1990, although the day is obscured. The place of birth is Lodra, Gandhinagar, Gujarat. This passport was issued in Ahmedabad on 02/03/2015 and is due to expire on 01/03/2025."","
00199.png,"""The image depicts an Indian passport with the following details: The passport type is 'P', indicating it is a personal passport. The country code 'IND' signifies India. The passport number is L9630722. The surname of the passport holder is Patel, and the given names are Hussein Mubarak. The nationality is Indian. The sex of the holder is male, indicated by 'M'. The date of birth is 30/08/1968. The place of birth is Sangli, Maharashtra. The passport was issued in Thane on 12/05/2014 and is set to expire on 11/05/2024."""
00200.png,"""The document is a Pakistani passport with type 'P' having passport number AP8675533. The holder's surname is Javed and his given name is Muhammad. He possesses Pakistani nationality and was born on the 2nd of January, 1981. The gender listed is male and the place of birth is Karachi. The father's name is Abdul Rasheed. This passport was issued on the 17th of January, 2018, and is set to expire on the 17th of January, 2028. The citizenship number is 42201-0646533-7, with a tracking number of 10321884174"","
00201.png,"""The image displays a 'P' type passport from the Islamic Republic of Pakistan, designated with the country code 'PAK'. The passport, number QZ1791293, is assigned to Waqas Ali, born on October 11, 1982, in Rawalpindi, Pakistan. Muhammad Shafiq is noted as his father. Issued on May 24, 2017, this passport is valid until May 23, 2027. The citizenship identification for Waqas Ali is 37406-4123129-9. The Pakistani authorities issued the passport, which is tracked by the number 61101011920 and is identified by the booklet number U0058038."","
00202.png,"""The image shows a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is DB4124221. It belongs to Adnan Khan, who holds Pakistani nationality and was born on the 1st of January, 1989, in Peshawar, Pakistan. The name of his father is Zar Khitab. The passport was issued on the 2nd of November, 2011, and expired on the 31st of October, 2016. Adnan Khan's citizenship number is 17301-3226422-5. The issuing authority is Pakistan, and the passport includes a tracking number 10801807687, and the booklet number is B5361242."","
00203.png,"""The document depicted in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is AE1801393. It has been issued to Muhammad Aslam, who is a Pakistani national born on the 7th of November, 1976, in Lahore, Pakistan. His father's name is Muhammad Anwar Ali Bhatti. The passport was issued on the 8th of September, 2014, and reached its expiry date on the 7th of September, 2019. The citizenship number for Muhammad Aslam is 35202-4160139-3. The issuing authority is Pakistan, denoted by the tracking number 1021296333, and the booklet number is CS301012."","
00204.png,"""The passport in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is GF6801021. It is issued to Muhammad Arif Agha, a Pakistani national born in 1963 in Karachi, Pakistan. The passport was issued on the 10th of July, 2014, and it states 'LIFE TIME' under the date of expiry, which implies it is a life-time valid passport. His father's name is Syed Niaz Agha. The citizenship number is 42201-5292460-5. The issuing authority is Pakistan, with a tracking number of 13701062918, and the booklet number is C5064698."","
00205.png,"""The passport shown in the image is a Type 'P' passport from the Islamic Republic of Pakistan, featuring the country code 'PAK'. The passport number is SD6900332. The holder is Fizza Hussain, a Pakistani national, born on the 28th of December, 1991. The place of birth is listed as Mansehra, Pakistan. Her father's name is Syed Zafar Hussain. The passport was issued on the 13th of February, 2019, and is due to expire on the 13th of February, 2024. The citizenship number is 13504-6280033-6. The issuing authority is Pakistan, with a tracking number of 10101880058, and the booklet number is F4489499."","
00206.png,"""The image depicts a Type 'P' passport issued by the Islamic Republic of Pakistan, identified with the country code 'PAK'. The document, with passport number CA6805951, belongs to Muhammad Yasin, a Pakistani citizen born on March 3, 1988, in Vehari, Pakistan. His father is listed as Muhammad Ishaq. This passport was issued on November 26, 2010, and reached its expiration on November 25, 2015. The citizenship identification number for Muhammad Yasin is 36603-0646595-3. Issued by the Pakistani authorities, the passport carries a tracking number of 11801469909 and a booklet number of B2420277."","
00207.png,"""The image features a Type 'P' passport issued by the Islamic Republic of Pakistan, designated with the country code 'PAK'. The passport, number CS1859982, is assigned to Fouzia Azeem, a Pakistani citizen born on March 1, 1990, in Dera Ghazi Khan, Pakistan. Her father is Muhammad Azeem. Issued on June 1, 2012, this passport expired on May 31, 2017. Fouzia Azeem's citizenship number is listed as 36302-7966998-2. The document was issued by Pakistani authorities, marked with a tracking number of 10101398573 and a booklet number B7282004. The machine-readable zone at the passport's bottom includes all pertinent details for electronic scanning and verification."","
00208.png,"""The image displays a Type 'P' passport from the Islamic Republic of Pakistan, labeled with the country code 'PAK'. The passport, with the number AD3992043, is issued to Nigel Brian Rambellow, who is identified as a Pakistani national born on November 19, 1990, in Rawalpindi, Pakistan. His father is named Gilbert Tahir. The document's issuance date is October 3, 2014, with an expiry date of October 2, 2019. The citizenship ID for Nigel Brian Rambellow is 37405-5224024-9. This passport was issued by the Pakistani authorities, which is indicated by the tracking number 11902050780 and the booklet number C5581469."","
00209.png,"""The passport shown in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is CM9897833. It is issued to Syed Agha Raza, a Pakistani national born on the 1st of January, 1993, in Quetta, Pakistan. His father's name is Amir Shah. The passport was issued on the 1st of April, 2016, and it is set to expire on the 1st of April, 2026. The citizenship number is 54400-2884783-5. The issuing authority is Pakistan, with a tracking number of 20101858565, and the booklet number is E2380057. The machine-readable zone at the bottom of the passport includes all this information encoded for electronic scanning and verification."","
00210.png,"""The passport depicted in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is BM42421942. The document is issued to an individual with the surname Dashti and the given name Nihad. The nationality stated is Pakistani, and the date of birth is 19th December 1969. The place of birth is listed as Faisalabad, Pakistan. The father's name is Abdul Dashti. This passport was issued on the 11th of June 2009, and expired on the 10th of June 2014. The citizenship number is 22300-0695694-0. The issuing authority is Pakistan, with a tracking number of 1198559877, and the booklet number is A7379900."","
00211.png,"""The document is a passport from the Islamic Republic of Pakistan. It is of type 'P' for passport, with the number VN6901761. The bearer's surname is Hussain, and his given names are Sadam. He holds Pakistani nationality and was born on the 5th of March, 1993. The sex indicated is male, and the place of birth is listed as Jhang, Pakistan. His father's name is Muhammad Anwar. The passport was issued on the 31st of January, 2018, and it expired on the 30th of January, 2023. The citizenship number provided is 33202-3893176-7. The issuing authority is the government of Pakistan, with a tracking number of 14501170766 and a booklet number F0054167."","
00212.png,"""The image depicts a Type 'P' passport from the Islamic Republic of Pakistan, marked with the country code 'PAK'. Passport number BM1799983 is issued to Muhammad Anwar, a Pakistani citizen born on January 1, 1964, in Karachi, Pakistan. His father is Haji Abdul Majeed. The issuance date of the passport is April 18, 2016, with an expiration date of April 17, 2026. Muhammad Anwar's citizenship identification number is 42301-2438998-7. The document's issuing authority is Pakistan, noted by the tracking number 26101000485 and booklet number U004855. The machine-readable zone at the bottom captures all the provided details for electronic scanning and verification."","
00213.png,"""The passport in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is AB1156213. It is issued to Fahad Sultan Ahmed, a Pakistani national born on the 14th of May, 1977, in Karachi, Pakistan. His father's name is Khawaja Islam Ahmed. The passport was issued on the 31st of December, 2013, and expired on the 30th of December, 2018. The citizenship number is 42301-2924621-1. The issuing authority is Pakistan, with a tracking number of 10301524587, and the booklet number is C2512902."","
00214.png,"""The image presents a Type 'P' passport issued by the Islamic Republic of Pakistan, bearing the country code 'PAK'. The passport number GF6801021 is assigned to Urooj Asif Yasin, a Pakistani citizen born on August 25, 1999, in Rawalpindi, Pakistan. This document was issued on August 7, 2014, and reached its expiration on August 6, 2019. Urooj Asif Yasin's citizenship number is listed as 37401-2483102-8. The Pakistani authorities issued the passport, as indicated by the tracking number 13701062918 and booklet number C5064698."","
00215.png,"""The image displays a Type 'P' passport issued by the Islamic Republic of Pakistan, labeled with the country code 'PAK'. The document, bearing passport number AD1792431, is issued to Shahab Anwar, a Pakistani citizen born on April 1, 1976, in Karachi, Pakistan. His father is named Anwar Ali Khan. The passport's issue date is November 26, 2004, with an expiration date of November 25, 2009. Shahab Anwar's citizenship identification number is 42501-1566243-7. The passport is issued by the Pakistani authorities, as indicated by the tracking number 10311012156 and booklet number A0033352."","
00216.png,"""The image shows a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is AF9956383. It is issued to Muhammad Ahsan Naeem, a Pakistani national born on the 10th of July, 1982, in Karachi, Pakistan. His father's name is Naeem Ahmed. The passport was issued on the 6th of March, 2017, and expired on the 5th of March, 2022. The citizenship number is 42101-1614638-9. The issuing authority is Pakistan, with a tracking number of 10331915327, and the booklet number is E6303622. The machine-readable zone at the bottom of the passport includes all this information encoded for electronic scanning and verification purposes."","
00217.png,"""The image shows a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is HG9159652. It is issued to Rahim Saba, a Pakistani national born on the 19th of September, 1993, in Larkana, Pakistan. His father's name is Mahmood, arshad. The passport was issued on the 31st of Oct, 2013, and expired on the 30th of oct, 2018. The citizenship number is 61101-2027965-2. The issuing authority is Pakistan, with a tracking number of 10101489192, and the booklet number is C1918444. The machine-readable zone at the bottom of the passport includes all this information encoded for electronic scanning and verification purposes."","
00218.png,"""This is a Pakistani passport issued to an individual named Muhammad Hussain. He is a Pakistani national, born on the 14th of February, 1961, in Karachi, Pakistan. His passport number is EZ6899191. The document was issued on the 29th of April, 2007, and expired on the 27th of April, 2012. Muhammad Hussain's father is named Fida Hussain. The citizenship number provided on the passport is 42301-2717919-1. The issuing authority is listed as Pakistan, and the tracking number associated with this passport is 10341112617. Additionally, the passport has a booklet number, which is A4093024. The machine-readable zone at the bottom of the passport includes encoded information that matches the details printed above it, ensuring the passport's authenticity and providing a secure method for machine-reading of the holder's data."","
00219.png,"""The image displays a Pakistani passport of type 'P' indicating a regular passport, with the country code 'PAK'. It belongs to Muhammad Arif, born on the 20th of June, 1976, in Mansehra, Pakistan. His nationality is Pakistani, and the passport number is AU1987461. The father's name is Muhammad Ayub. This passport was issued on the 8th of July, 2006, and expired on the 7th of July, 2011. The citizenship number is 37406-6247746-7. It was issued by the Pakistani authorities with the tracking number 12001046956, and the booklet number is A2577735. The machine-readable code at the bottom of the passport provides a secure method for electronic data capture and includes all the essential details that match the printed text."","
00220.png,"""The passport displayed in the image is a Type 'P' passport from the Islamic Republic of Pakistan, bearing the country code 'PAK'. It is assigned to a Pakistani national named Anis Ali, who was born on the 5th of April, 1989, in Karachi, Pakistan. The passport number is WY1798821. Anis Ali's father is Liaquat Ali. The document was issued on the 20th of July, 2010, and expired on the 19th of July, 2015. The citizenship number for Anis Ali is 42301-5499882-7. The issuing authority is Pakistan, with a tracking number of 10341314775 and a booklet number B1606211. The machine-readable zone at the bottom of the passport contains all of this information encoded for electronic scanning and verification purposes."","
00221.png,"""The image is of a Type 'P' passport from the Islamic Republic of Pakistan with the country code 'PAK'. The passport number is GC4910811. It belongs to a Pakistani national named Muhammad Usman Qureshi, born on the 2nd of January, 1992, in Multan, Pakistan. His father's name is Manzoor Ahmad. This passport was issued on the 16th of October, 2015, and expired on the 14th of October, 2020. The citizenship number for Muhammad Usman is 36302-3468081-1. The issuing authority for this document is Pakistan, which has assigned the tracking number 11801878870 and the booklet number E0027440."","
00222.png,"""The image displays a Pakistani passport of type 'P' indicating a regular passport, with the country code 'PAK'. The passport number is FY5141071. The holder of the passport is Shahid Zohair, a Pakistani national, born on the 23rd of June, 1990, in Lahore, Pakistan. His father's name is Shahid Jillani. The passport was issued on the 15th of January, 2008, and expired on the 13th of January, 2013. The citizenship number for Shahid Zohair is 35202-8396107-5. The document was issued by the Pakistani authorities and includes a tracking number of 10211366912, with the booklet number A5535451."","
00223.png,"""The image shows a 'P' type passport issued by the Islamic Republic of Pakistan with the national code 'PAK'. The passport, bearing the number AA6845933, belongs to Yasir Arafat Hashmi, a citizen of Pakistan born on November 24, 1972, in Karachi. His father is named Bashir Ahmed Hashmi. This document was issued on March 21, 2017, and expired on March 20, 2022. It includes a citizenship number of 42301-8138593-1. The authority responsible for issuing this passport is Pakistan, indicated by the tracking number 10341856537 and booklet number E6551042. The machine-readable zone at the bottom encodes all vital information for electronic processing."","
00224.png,"""The image reveals a 'P' type passport from the Islamic Republic of Pakistan, identified by the country code 'PAK'. The passport, with number BE5995913, is issued to Gul Zari, a Pakistani national born on January 1, 1964, in Buner, Pakistan. The document's issuance date is December 18, 2018, with an expiration date of December 17, 2023. The citizenship number provided is 15101-8486591-4, and her father is listed as Amir Muhammad. The Pakistani authority issued this passport, noted by tracking number 11231127974 and booklet number F3503148. Essential details for electronic scanning are encoded in the machine-readable zone at the document's bottom."","
00225.png,"""The document is a Pakistani passport with type 'P' having passport number AP8675533. The holder's surname is Javed and his given name is Muhammad. He possesses Pakistani nationality and was born on the 2nd of January, 1981. The gender listed is male and the place of birth is Karachi. The father's name is Abdul Rasheed. This passport was issued on the 17th of January, 2018, and is set to expire on the 17th of January, 2028. The citizenship number is 42201-0646533-7, with a tracking number of 10321884174"","
00226.png,"""The image displays a 'P' type passport from the Islamic Republic of Pakistan, designated with the country code 'PAK'. The passport, number QZ1791293, is assigned to Waqas Ali, born on October 11, 1982, in Rawalpindi, Pakistan. Muhammad Shafiq is noted as his father. Issued on May 24, 2017, this passport is valid until May 23, 2027. The citizenship identification for Waqas Ali is 37406-4123129-9. The Pakistani authorities issued the passport, which is tracked by the number 61101011920 and is identified by the booklet number U0058038."","
00227.png,"""The image shows a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is DB4124221. It belongs to Adnan Khan, who holds Pakistani nationality and was born on the 1st of January, 1989, in Peshawar, Pakistan. The name of his father is Zar Khitab. The passport was issued on the 2nd of November, 2011, and expired on the 31st of October, 2016. Adnan Khan's citizenship number is 17301-3226422-5. The issuing authority is Pakistan, and the passport includes a tracking number 10801807687, and the booklet number is B5361242."","
00228.png,"""The document depicted in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is AE1801393. It has been issued to Muhammad Aslam, who is a Pakistani national born on the 7th of November, 1976, in Lahore, Pakistan. His father's name is Muhammad Anwar Ali Bhatti. The passport was issued on the 8th of September, 2014, and reached its expiry date on the 7th of September, 2019. The citizenship number for Muhammad Aslam is 35202-4160139-3. The issuing authority is Pakistan, denoted by the tracking number 1021296333, and the booklet number is CS301012."","
00229.png,"""The passport in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is GF6801021. It is issued to Muhammad Arif Agha, a Pakistani national born in 1963 in Karachi, Pakistan. The passport was issued on the 10th of July, 2014, and it states 'LIFE TIME' under the date of expiry, which implies it is a life-time valid passport. His father's name is Syed Niaz Agha. The citizenship number is 42201-5292460-5. The issuing authority is Pakistan, with a tracking number of 13701062918, and the booklet number is C5064698."","
00230.png,"""The passport shown in the image is a Type 'P' passport from the Islamic Republic of Pakistan, featuring the country code 'PAK'. The passport number is SD6900332. The holder is Fizza Hussain, a Pakistani national, born on the 28th of December, 1991. The place of birth is listed as Mansehra, Pakistan. Her father's name is Syed Zafar Hussain. The passport was issued on the 13th of February, 2019, and is due to expire on the 13th of February, 2024. The citizenship number is 13504-6280033-6. The issuing authority is Pakistan, with a tracking number of 10101880058, and the booklet number is F4489499."","
00231.png,"""The image depicts a Type 'P' passport issued by the Islamic Republic of Pakistan, identified with the country code 'PAK'. The document, with passport number CA6805951, belongs to Muhammad Yasin, a Pakistani citizen born on March 3, 1988, in Vehari, Pakistan. His father is listed as Muhammad Ishaq. This passport was issued on November 26, 2010, and reached its expiration on November 25, 2015. The citizenship identification number for Muhammad Yasin is 36603-0646595-3. Issued by the Pakistani authorities, the passport carries a tracking number of 11801469909 and a booklet number of B2420277."","
00232.png,"""The image features a Type 'P' passport issued by the Islamic Republic of Pakistan, designated with the country code 'PAK'. The passport, number CS1859982, is assigned to Fouzia Azeem, a Pakistani citizen born on March 1, 1990, in Dera Ghazi Khan, Pakistan. Her father is Muhammad Azeem. Issued on June 1, 2012, this passport expired on May 31, 2017. Fouzia Azeem's citizenship number is listed as 36302-7966998-2. The document was issued by Pakistani authorities, marked with a tracking number of 10101398573 and a booklet number B7282004. The machine-readable zone at the passport's bottom includes all pertinent details for electronic scanning and verification."","
00233.png,"""The image displays a Type 'P' passport from the Islamic Republic of Pakistan, labeled with the country code 'PAK'. The passport, with the number AD3992043, is issued to Nigel Brian Rambellow, who is identified as a Pakistani national born on November 19, 1990, in Rawalpindi, Pakistan. His father is named Gilbert Tahir. The document's issuance date is October 3, 2014, with an expiry date of October 2, 2019. The citizenship ID for Nigel Brian Rambellow is 37405-5224024-9. This passport was issued by the Pakistani authorities, which is indicated by the tracking number 11902050780 and the booklet number C5581469."","
00234.png,"""The passport shown in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is CM9897833. It is issued to Syed Agha Raza, a Pakistani national born on the 1st of January, 1993, in Quetta, Pakistan. His father's name is Amir Shah. The passport was issued on the 1st of April, 2016, and it is set to expire on the 1st of April, 2026. The citizenship number is 54400-2884783-5. The issuing authority is Pakistan, with a tracking number of 20101858565, and the booklet number is E2380057. The machine-readable zone at the bottom of the passport includes all this information encoded for electronic scanning and verification."","
00235.png,"""The passport depicted in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is BM42421942. The document is issued to an individual with the surname Dashti and the given name Nihad. The nationality stated is Pakistani, and the date of birth is 19th December 1969. The place of birth is listed as Faisalabad, Pakistan. The father's name is Abdul Dashti. This passport was issued on the 11th of June 2009, and expired on the 10th of June 2014. The citizenship number is 22300-0695694-0. The issuing authority is Pakistan, with a tracking number of 1198559877, and the booklet number is A7379900."","
00236.png,"""The document is a passport from the Islamic Republic of Pakistan. It is of type 'P' for passport, with the number VN6901761. The bearer's surname is Hussain, and his given names are Sadam. He holds Pakistani nationality and was born on the 5th of March, 1993. The sex indicated is male, and the place of birth is listed as Jhang, Pakistan. His father's name is Muhammad Anwar. The passport was issued on the 31st of January, 2018, and it expired on the 30th of January, 2023. The citizenship number provided is 33202-3893176-7. The issuing authority is the government of Pakistan, with a tracking number of 14501170766 and a booklet number F0054167."","
00237.png,"""The image depicts a Type 'P' passport from the Islamic Republic of Pakistan, marked with the country code 'PAK'. Passport number BM1799983 is issued to Muhammad Anwar, a Pakistani citizen born on January 1, 1964, in Karachi, Pakistan. His father is Haji Abdul Majeed. The issuance date of the passport is April 18, 2016, with an expiration date of April 17, 2026. Muhammad Anwar's citizenship identification number is 42301-2438998-7. The document's issuing authority is Pakistan, noted by the tracking number 26101000485 and booklet number U004855. The machine-readable zone at the bottom captures all the provided details for electronic scanning and verification."","
00238.png,"""The passport in the image is a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is AB1156213. It is issued to Fahad Sultan Ahmed, a Pakistani national born on the 14th of May, 1977, in Karachi, Pakistan. His father's name is Khawaja Islam Ahmed. The passport was issued on the 31st of December, 2013, and expired on the 30th of December, 2018. The citizenship number is 42301-2924621-1. The issuing authority is Pakistan, with a tracking number of 10301524587, and the booklet number is C2512902."","
00239.png,"""The image presents a Type 'P' passport issued by the Islamic Republic of Pakistan, bearing the country code 'PAK'. The passport number GF6801021 is assigned to Urooj Asif Yasin, a Pakistani citizen born on August 25, 1999, in Rawalpindi, Pakistan. This document was issued on August 7, 2014, and reached its expiration on August 6, 2019. Urooj Asif Yasin's citizenship number is listed as 37401-2483102-8. The Pakistani authorities issued the passport, as indicated by the tracking number 13701062918 and booklet number C5064698."","
00240.png,"""The image displays a Type 'P' passport issued by the Islamic Republic of Pakistan, labeled with the country code 'PAK'. The document, bearing passport number AD1792431, is issued to Shahab Anwar, a Pakistani citizen born on April 1, 1976, in Karachi, Pakistan. His father is named Anwar Ali Khan. The passport's issue date is November 26, 2004, with an expiration date of November 25, 2009. Shahab Anwar's citizenship identification number is 42501-1566243-7. The passport is issued by the Pakistani authorities, as indicated by the tracking number 10311012156 and booklet number A0033352."","
00241.png,"""The image shows a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is AF9956383. It is issued to Muhammad Ahsan Naeem, a Pakistani national born on the 10th of July, 1982, in Karachi, Pakistan. His father's name is Naeem Ahmed. The passport was issued on the 6th of March, 2017, and expired on the 5th of March, 2022. The citizenship number is 42101-1614638-9. The issuing authority is Pakistan, with a tracking number of 10331915327, and the booklet number is E6303622. The machine-readable zone at the bottom of the passport includes all this information encoded for electronic scanning and verification purposes."","
00242.png,"""The image shows a Type 'P' passport from the Islamic Republic of Pakistan, with the country code 'PAK'. The passport number is HG9159652. It is issued to Rahim Saba, a Pakistani national born on the 19th of September, 1993, in Larkana, Pakistan. His father's name is Mahmood, arshad. The passport was issued on the 31st of Oct, 2013, and expired on the 30th of oct, 2018. The citizenship number is 61101-2027965-2. The issuing authority is Pakistan, with a tracking number of 10101489192, and the booklet number is C1918444. The machine-readable zone at the bottom of the passport includes all this information encoded for electronic scanning and verification purposes."","
00243.png,"""This is a Pakistani passport issued to an individual named Muhammad Hussain. He is a Pakistani national, born on the 14th of February, 1961, in Karachi, Pakistan. His passport number is EZ6899191. The document was issued on the 29th of April, 2007, and expired on the 27th of April, 2012. Muhammad Hussain's father is named Fida Hussain. The citizenship number provided on the passport is 42301-2717919-1. The issuing authority is listed as Pakistan, and the tracking number associated with this passport is 10341112617. Additionally, the passport has a booklet number, which is A4093024. The machine-readable zone at the bottom of the passport includes encoded information that matches the details printed above it, ensuring the passport's authenticity and providing a secure method for machine-reading of the holder's data."","
00244.png,"""The image displays a Pakistani passport of type 'P' indicating a regular passport, with the country code 'PAK'. It belongs to Muhammad Arif, born on the 20th of June, 1976, in Mansehra, Pakistan. His nationality is Pakistani, and the passport number is AU1987461. The father's name is Muhammad Ayub. This passport was issued on the 8th of July, 2006, and expired on the 7th of July, 2011. The citizenship number is 37406-6247746-7. It was issued by the Pakistani authorities with the tracking number 12001046956, and the booklet number is A2577735. The machine-readable code at the bottom of the passport provides a secure method for electronic data capture and includes all the essential details that match the printed text."","
00245.png,"""The passport displayed in the image is a Type 'P' passport from the Islamic Republic of Pakistan, bearing the country code 'PAK'. It is assigned to a Pakistani national named Anis Ali, who was born on the 5th of April, 1989, in Karachi, Pakistan. The passport number is WY1798821. Anis Ali's father is Liaquat Ali. The document was issued on the 20th of July, 2010, and expired on the 19th of July, 2015. The citizenship number for Anis Ali is 42301-5499882-7. The issuing authority is Pakistan, with a tracking number of 10341314775 and a booklet number B1606211. The machine-readable zone at the bottom of the passport contains all of this information encoded for electronic scanning and verification purposes."","
00246.png,"""The image is of a Type 'P' passport from the Islamic Republic of Pakistan with the country code 'PAK'. The passport number is GC4910811. It belongs to a Pakistani national named Muhammad Usman Qureshi, born on the 2nd of January, 1992, in Multan, Pakistan. His father's name is Manzoor Ahmad. This passport was issued on the 16th of October, 2015, and expired on the 14th of October, 2020. The citizenship number for Muhammad Usman is 36302-3468081-1. The issuing authority for this document is Pakistan, which has assigned the tracking number 11801878870 and the booklet number E0027440."","
00247.png,"""The image displays a Pakistani passport of type 'P' indicating a regular passport, with the country code 'PAK'. The passport number is FY5141071. The holder of the passport is Shahid Zohair, a Pakistani national, born on the 23rd of June, 1990, in Lahore, Pakistan. His father's name is Shahid Jillani. The passport was issued on the 15th of January, 2008, and expired on the 13th of January, 2013. The citizenship number for Shahid Zohair is 35202-8396107-5. The document was issued by the Pakistani authorities and includes a tracking number of 10211366912, with the booklet number A5535451."","
00248.png,"""The image shows a 'P' type passport issued by the Islamic Republic of Pakistan with the national code 'PAK'. The passport, bearing the number AA6845933, belongs to Yasir Arafat Hashmi, a citizen of Pakistan born on November 24, 1972, in Karachi. His father is named Bashir Ahmed Hashmi. This document was issued on March 21, 2017, and expired on March 20, 2022. It includes a citizenship number of 42301-8138593-1. The authority responsible for issuing this passport is Pakistan, indicated by the tracking number 10341856537 and booklet number E6551042. The machine-readable zone at the bottom encodes all vital information for electronic processing."","
00249.png,"""The image reveals a 'P' type passport from the Islamic Republic of Pakistan, identified by the country code 'PAK'. The passport, with number BE5995913, is issued to Gul Zari, a Pakistani national born on January 1, 1964, in Buner, Pakistan. The document's issuance date is December 18, 2018, with an expiration date of December 17, 2023. The citizenship number provided is 15101-8486591-4, and her father is listed as Amir Muhammad. The Pakistani authority issued this passport, noted by tracking number 11231127974 and booklet number F3503148. Essential details for electronic scanning are encoded in the machine-readable zone at the document's bottom."","
00250.png,"""The document is a Pakistani passport with type 'P' having passport number AP8675533. The holder's surname is Javed and his given name is Muhammad. He possesses Pakistani nationality and was born on the 2nd of January, 1981. The gender listed is male and the place of birth is Karachi. The father's name is Abdul Rasheed. This passport was issued on the 17th of January, 2018, and is set to expire on the 17th of January, 2028. The citizenship number is 42201-0646533-7, with a tracking number of 10321884174"","
